"","Origin","Destination","year","N","corridor","z1","dejure_dummy","infants","deaths","birthplace_dummy","quality","cont_dummy","popS","popR","mstS","mstR","imports","exports","GDPS","GDPR","unempS","unempR","pvS","pvR","schoolyS","schoolyR","lifeexpectancyS","lifeexpectancyR","language_dummy"
"1","Bolivia","Argentina",0,1,1,7.82317210997064,1,-1.69174103390783,1.52764764575277,0,3,1,17.2659644749417,17.1313137194867,11.4096459369886,4.78970481687539,16.6393001593403,16.2842209276481,8.06472431812495,8.73967411684848,1.99436097685255,2.48237692657115,-1.81392460642251,0.380004529155781,2.02674242747221,1.98400011223703,4.17760181978119,4.23744809272426,1
"2","Brazil","Argentina",0,2,2,5.16737233504826,0,2.75613908736601,1.84890848530948,0,3,1,19.1376625408226,15.4229517003277,8.06879859564266,11.1054525040949,22.0938748066664,11.5826277885119,11.2012823121376,6.732561608913,1.55651244444294,2.90245391770065,-0.723525250551426,-2.55307753064557,2.08055409938086,1.65483495818279,4.36939631430192,4.25641365505659,1
"3","Chile","Argentina",0,3,3,4.38169624115136,0,-1.06716292751549,2.925323310349,0,1,1,18.4756046947217,16.5958929516046,13.4416020469474,6.44009255662557,18.6585164885087,19.530191849177,10.1715403031231,7.90605642640662,1.57283371218778,2.76753783505671,-2.26220327166362,-2.471005625446,1.52428448993798,1.98265858686647,4.22951437623621,4.24527679787425,0
"4","Colombia","Argentina",0,4,4,5.63126605576177,0,-2.25370634066689,2.80291467261044,0,2,1,15.6788662941834,15.6662381945859,8.4487723331184,9.60802343119318,17.3591027377964,19.980063008988,7.5550361099179,8.45579227786134,1.88992288850861,2.56315548752705,-1.2006277014346,-1.3641459585454,1.85431575219515,2.01256416728605,4.34639599325965,4.2809525192304,1
"5","Ecuador","Argentina",0,5,5,9.00921204980477,0,2.20954811794158,1.03839500313142,0,1,0,14.8187754534678,17.7130343740327,10.2475493944673,12.610933951309,18.8101135433189,19.5959010126753,10.5396359245462,7.98639555560626,1.63387417650729,2.18416767615881,0.208845439851881,-2.15488817466203,2.27726546186012,1.94630368597897,4.36028552228526,4.31855730501634,0
"6","Paraguay","Argentina",0,6,6,5.33661985388295,0,2.72510448781392,0.313655450348068,0,1,0,16.6894156036253,19.0473041992971,4.15641137771372,8.42830463348932,17.8400587216087,22.386594256187,7.63707999935087,7.83854849183758,2.05517047085572,1.06205663269146,-2.52643752295902,-0.00684016442531998,1.78172473299846,1.82629859617376,4.37042389123314,4.14421009164758,1
"7","Peru","Argentina",0,7,7,4.74683285662498,1,4.08056682922546,1.45033261858475,1,2,0,18.5910181828239,15.6251255692718,9.66900721623775,9.68975695394578,13.9118017582208,17.2434181935872,11.2436272462195,8.18381647762234,2.64261149481081,1.79176218988952,-1.3037955996226,0.54831399771108,1.94251737399385,2.15705799883675,4.29241265332263,4.24479053142906,1
"8","Uruguay","Argentina",0,8,8,6.99922949317119,0,-1.12814239713867,0.409216991046414,0,3,0,16.308690388694,16.9633547043441,8.70215655353242,9.56639561897284,19.4829736149336,19.1479167188082,9.29643442235061,9.99396784698824,2.01852957064284,2.14984989171345,-0.68149788743924,-1.49763214880628,2.08272269987601,1.9393071218419,4.27454018596414,4.25558606071151,1
"9","Venezuela","Argentina",0,9,9,6.56560604850641,0,3.82311808645205,0.268516611104044,0,2,0,17.6308239144695,16.0513942170584,9.79800807656167,9.28849942849559,19.0592335307108,17.5018321921984,11.1776140371082,9.2634094920303,2.23402500445333,2.31715617639652,0.718671097343464,0.653656314537729,2.29865109876002,1.73001064577109,4.29765657793905,4.31514946419957,1
"10","USA","Argentina",0,10,10,2.70109129063851,0,2.97348952524338,1.23502504083197,0,2,1,19.1614382369166,17.4925600018004,8.32845472669901,15.4316859720838,17.8322889242439,18.32373685721,10.2509792375155,7.65311849711588,2.33988418310611,1.75742552994456,-1.48833425338523,0.131185127926322,2.22475407449561,2.03769329586613,4.23362640913404,4.28927507659095,1
"11","Spain","Argentina",0,11,11,4.31636024975081,0,2.97946398226099,1.32611557085469,0,2,0,20.7247616920848,18.8256766786861,7.63641489148349,9.45664557813247,16.9606876907324,18.529525226185,8.65281268863368,9.6825488030661,1.82666191813989,3.16745605430459,1.73373425476228,-1.4713985587347,1.8469149825756,1.83727103890915,4.35913410568107,4.28562253113492,0
"12","Canada","Argentina",0,12,12,7.12453970270843,0,-0.670397072734171,0.303609241467138,0,3,0,17.4667175298777,16.4436025579064,5.71452547017937,10.5013074740202,19.9693611062382,13.9839483718048,9.60775466915332,7.1163708493763,1.57650358164248,1.46898476314556,0.00258041000627829,0.574655277803733,1.61985369733702,2.04704226692828,4.2086964198948,4.22626346869516,0
"13","America","Argentina",0,13,13,2.3503419938914,1,4.74498340309527,-1.79325285089523,1,2,0,18.7004244695873,15.0532670361997,2.40780625749668,11.378904649688,12.5194129099793,17.1264845157517,9.76730894784801,7.17327593964719,1.80177192701572,1.41922878073002,-0.290530313566063,-0.985516823701202,2.25459377002078,1.68228138035675,4.14302831682367,4.27999756909113,0
"14","Africa","Argentina",0,14,14,5.9302420446341,0,3.83163712085584,1.62227353197103,0,3,1,17.6456279697704,16.6519546020538,11.3657135808854,7.72093568621139,14.1902799796679,20.2778397772329,9.63437271542396,8.3466946449344,2.05407785573711,1.97488744735821,-0.801177777729276,-0.374670822778073,2.33914798568038,2.08631569513848,4.01137264503528,4.26206000035252,1
"15","Asia","Argentina",0,15,15,9.06701924432826,0,3.33443483375202,2.51787450882621,0,2,0,17.1602825174197,17.9472648475267,4.03560928249497,8.1175009703959,18.8668246019835,16.740724655554,8.882042625825,7.63108140241098,2.2535827698427,1.75199844428243,0.31631723600047,-3.71760672140744,2.22976119930388,1.39455310396387,4.19371853432368,4.21332335353653,1
"16","Europe","Argentina",0,16,16,7.68935983286508,0,2.7221035489145,0.9568028604215,0,2,1,18.0975440184688,14.3077592293438,7.03337253356892,10.0668958520233,18.4728362107861,18.853060242884,11.1870441649168,7.37641356998325,0.892732619646418,2.08662207947456,-0.702602411635965,-1.20838523964458,2.05471547638249,2.13134655412897,4.28828732522678,4.2810884311686,1
"17","Oceania","Argentina",0,17,17,3.42642705670063,0,2.14357754635823,0.648671824836718,0,3,0,18.698015419979,15.4707003950597,9.46566609550815,7.69063073761844,19.185499494109,18.769139158363,10.033646921815,8.03759452238002,1.86218822797457,1.18532985162092,0.22370718633794,0.508473495470347,2.16734756238013,1.94104486533109,4.26799779117643,4.18500943647998,1
"18","Bolivia","Argentina",0,18,18,3.57327208941837,0,2.96168569446042,-0.94821862864084,0,2,0,17.6764349615058,16.6805272309471,11.3768499594216,9.35939338219768,19.1488378027501,19.3029251193658,9.78274459952496,6.91882139159326,1.9486727042474,1.75650357139061,-0.0490290472712855,-2.47678416930714,1.9411628383795,2.08936508217529,4.27992392223084,4.34889905626466,1
"19","Brazil","Argentina",0,19,19,5.20817745500287,0,-0.265637017141436,0.958681397846831,0,3,1,17.9149422467097,17.246072447694,7.13793263827938,9.94615867496281,18.1285951100437,15.4445810145046,9.10463548574131,8.32377532130393,1.53082404139361,2.42615596401052,0.125764097318126,1.39284205584636,2.30572782998869,1.79135543001848,4.50553423634435,4.30228871197008,0
"20","Chile","Argentina",0,20,20,5.43711765579948,0,0.454700475722625,1.00005350122556,0,2,0,19.3095781546293,18.5725841749019,8.48255858386473,2.75277186219864,21.0284970929435,19.7505210350247,6.58032549916275,8.32296868460238,2.4991411063045,1.5457946871445,1.11198885352676,-0.939646703229584,1.55960076844147,2.31969232169045,4.2112483423502,4.34098310674543,1
"21","Colombia","Argentina",0,21,21,7.68958048550502,0,4.80882907491467,0.981923184843188,0,3,1,20.7719569357916,17.1463183418887,5.42681213607005,2.72839102677511,22.8471735719311,17.8270766245251,9.19607638613625,8.29300407385671,1.81613578641908,1.80790970364678,0.211400167374816,-0.50495057608449,1.57437873234191,2.1011514184903,4.23938723593875,4.32901314325833,0
"22","Ecuador","Argentina",0,22,22,5.65673787048868,0,1.1452384091733,0.820596138698415,0,3,1,18.1423308791325,16.9620918187515,10.1655308493269,9.16959405429324,16.4446295582552,16.4455596787208,9.66668878733585,8.25994794464586,2.02987576686213,1.89442866266517,-0.467140674769523,-0.236573014541283,2.49571875216799,1.96795946061843,4.26378384962161,4.15772381069287,0
"23","Paraguay","Argentina",0,23,23,5.68108665111967,1,-0.57181728252387,0.267584287842387,0,1,1,17.2150435096444,17.1921100735372,4.84931393308397,4.81059574807497,19.6666075310026,18.7966159065964,9.26890981903685,9.0921735447767,2.90995658031889,1.0097697180336,-0.444578370334602,-1.38649086903228,1.88017190897991,1.84837687777338,4.29354280484367,4.21849610199299,1
"24","Peru","Argentina",0,24,24,4.80708312636059,0,0.550768408024553,2.25550687580635,0,3,0,16.9581414067123,18.37856707682,4.63095323976765,4.53704607461283,15.7043617399163,20.2318817978632,8.03621267717529,8.27248323242663,1.43697295800484,2.33372344010268,-1.55570862994647,-0.777982340398154,1.63270100357952,1.99819346041082,4.2470977659545,4.30094178332738,1
"25","Uruguay","Argentina",0,25,25,4.90774505952667,0,-2.62595350858886,0.653698047082898,0,1,0,20.3317292841026,18.4772299581866,4.19980787196249,10.5266863385953,14.3073109921241,18.9343789539724,10.2352118020738,8.77017241224504,1.99712362077845,1.81842260048458,-2.68478630966309,1.15161119779858,2.12799616888045,2.1162264725941,4.20469393411819,4.31334378029316,0
"26","Venezuela","Argentina",0,26,26,4.72984081613441,0,-0.256602437442221,1.46852071005443,0,2,0,16.9108912996736,15.8209336027713,14.2788856227802,10.5248534581331,22.026678144504,16.4995913131242,7.1210470656381,7.64476788927978,1.7384659278799,2.63952245491278,-3.35950914629434,-2.42066884232609,2.24566786356457,1.77234984357993,4.20002538838172,4.22337306305216,1
"27","USA","Argentina",0,27,27,7.55742811084812,0,-1.69928077762843,1.57840661347302,0,3,1,20.6677346229601,17.1232263888302,8.36444048173887,10.2042265977638,23.8026747540189,16.9995673104851,7.88689754224291,7.58981624818544,1.58557374282073,1.68478656873633,-0.325529656317173,0.114380174876674,2.26026553276907,1.8095313363535,4.2117397735355,4.32377432641118,0
"28","Spain","Argentina",0,28,28,6.44965963313324,0,0.576280492400324,0.619517854987484,0,2,1,17.6647060027254,16.071180124433,9.19736671252757,2.3154307256296,20.1255347398875,16.2845973547046,9.3957159816541,6.30510006554383,1.26889353409385,2.49404141287866,0.0516577892860892,-1.35671465635469,2.23840438643257,2.29575063836202,4.15613263178173,4.29642811080244,1
"29","Canada","Argentina",0,29,29,4.55152063017763,0,3.70749040144428,1.55180685431911,0,3,1,17.7357467600354,18.4332657880758,8.8796892384702,7.53654291853707,15.6976305976951,16.6093094302185,6.22864531391381,6.15480555149861,1.93435855856262,1.66412926242609,0.00541445624169434,-2.75954669055245,1.43973648409294,2.53500656190555,4.27706952854577,4.19509866025854,0
"30","America","Argentina",0,30,30,4.42135761759881,0,0.810033726034185,0.717637357593032,0,2,0,17.2581259610978,16.4343069454841,7.19286658078268,12.4190767848856,17.3582064478584,16.6598343168638,8.93678071788638,8.79107274314202,1.93145518860142,1.62057989899467,-0.297817940688015,-0.0125228078730666,1.96435321462033,1.94723730673313,4.38356112165373,4.30022160847649,1
