N,Origin,Destination,year,mean_trueflows,median_trueflows,q2.5_trueflows,q97.5_trueflows
1,Bolivia,Argentina,1986,650,652,250,1537
2,Brazil,Argentina,1986,300,327,109,899
3,Chile,Argentina,1986,1611,1603,661,4180
4,Colombia,Argentina,1986,35,37,12,102
5,Ecuador,Argentina,1986,21,21,7,62
6,Paraguay,Argentina,1986,533,554,178,1652
7,Peru,Argentina,1986,290,295,99,690
8,Uruguay,Argentina,1986,395,382,156,1246
9,Venezuela,Argentina,1986,40,38,16,115
10,USA,Argentina,1986,190,186,58,543
11,Canada,Argentina,1986,17,17,6,46
12,Spain,Argentina,1986,152,153,51,421
13,America,Argentina,1986,358,369,113,1134
14,Africa,Argentina,1986,26,26,10,67
15,Asia,Argentina,1986,128,128,44,322
16,Europe,Argentina,1986,388,410,147,911
17,Oceania,Argentina,1986,21,20,9,60
18,Argentina,Bolivia,1986,3838,3845,1389,11983
19,Brazil,Bolivia,1986,1460,1387,422,4107
20,Chile,Bolivia,1986,435,442,160,1328
21,Colombia,Bolivia,1986,68,66,25,219
22,Ecuador,Bolivia,1986,61,65,17,179
23,Paraguay,Bolivia,1986,109,110,43,261
24,Peru,Bolivia,1986,811,834,240,2582
25,Uruguay,Bolivia,1986,31,32,10,81
26,Venezuela,Bolivia,1986,46,46,15,163
27,USA,Bolivia,1986,593,605,235,1657
28,Canada,Bolivia,1986,97,96,35,397
29,Spain,Bolivia,1986,70,76,22,162
30,America,Bolivia,1986,305,292,124,859
31,Africa,Bolivia,1986,70,70,24,221
32,Asia,Bolivia,1986,281,261,101,754
33,Europe,Bolivia,1986,437,430,178,1137
34,Oceania,Bolivia,1986,21,21,7,76
35,Argentina,Brazil,1986,27161,26674,10210,80784
36,Bolivia,Brazil,1986,1418,1398,479,3799
37,Chile,Brazil,1986,904,898,301,2566
38,Colombia,Brazil,1986,891,916,294,2424
39,Ecuador,Brazil,1986,170,165,66,499
40,Paraguay,Brazil,1986,4421,4239,1377,20035
41,Peru,Brazil,1986,9457,9002,2838,32282
42,Uruguay,Brazil,1986,608,648,181,1537
43,Venezuela,Brazil,1986,472,491,139,1495
44,USA,Brazil,1986,3167,3084,1117,9290
45,Canada,Brazil,1986,218,213,83,714
46,Spain,Brazil,1986,544,550,194,1764
47,America,Brazil,1986,13224,13062,4308,43334
48,Africa,Brazil,1986,1612,1597,658,5105
49,Asia,Brazil,1986,12292,11757,4924,36133
50,Europe,Brazil,1986,29942,29771,10948,79766
51,Oceania,Brazil,1986,128,133,47,311
52,Argentina,Chile,1986,5966,5706,1726,18864
53,Bolivia,Chile,1986,389,398,108,1410
54,Brazil,Chile,1986,1484,1650,558,3756
55,Colombia,Chile,1986,137,137,48,377
56,Ecuador,Chile,1986,378,375,115,1116
57,Paraguay,Chile,1986,169,162,70,518
58,Peru,Chile,1986,519,495,184,1577
59,Uruguay,Chile,1986,224,218,86,747
60,Venezuela,Chile,1986,611,643,196,1581
61,USA,Chile,1986,1702,1776,597,4298
62,Canada,Chile,1986,586,577,235,1493
63,Spain,Chile,1986,583,578,223,1837
64,America,Chile,1986,520,541,194,1371
65,Africa,Chile,1986,244,235,88,692
66,Asia,Chile,1986,600,627,236,1504
67,Europe,Chile,1986,2742,2667,935,6713
68,Oceania,Chile,1986,291,300,87,783
69,Argentina,Colombia,1986,290,283,105,957
70,Bolivia,Colombia,1986,52,53,15,151
71,Brazil,Colombia,1986,227,212,78,808
72,Chile,Colombia,1986,90,94,22,286
73,Ecuador,Colombia,1986,1747,1726,496,5246
74,Paraguay,Colombia,1986,20,20,6,55
75,Peru,Colombia,1986,487,483,169,1605
76,Uruguay,Colombia,1986,48,48,19,145
77,Venezuela,Colombia,1986,4077,4073,1393,11971
78,USA,Colombia,1986,8619,8693,2923,21277
79,Canada,Colombia,1986,216,210,93,697
80,Spain,Colombia,1986,667,701,196,1899
81,America,Colombia,1986,1614,1720,607,4398
82,Africa,Colombia,1986,71,70,21,302
83,Asia,Colombia,1986,961,986,247,3383
84,Europe,Colombia,1986,1973,2005,601,5633
85,Oceania,Colombia,1986,104,100,32,404
